var,description
ae_sdate_33_v2_3,Stop Date
d14_resp,
d56_rapid_st_v3_2,Start date
d56_throat_v3_2,Sore throat
s6_resp_2,Respiratory rate
d28_family_id2,
excl12,
icf_vc_oth_sp_v3_0,Other version of ICF
pospcr_sob_resol,Date of symptom resolution (sob):
pospcr_vomit_dur,How long was the 'Nausea or vomiting' symptom present (needs not be contiguous days)? 
ev_abdo_det_ns,
med_start_date_28_v2_3,
pospcr_appetite_dur,How long was the 'Loss of appetite' symptom present (needs not be contiguous days)? 
d28_breath,
ae_date_18_v2_3,Start Date
d14_cell_2a___1,
d28_app_st,
ev_oth2_sp,
d3_reglymph,
d14_ns_13_tim,
d182_pulse_v3_2,Pulse rate
medication_dose_7_v2_3,Dose
med_stop_mo_29_v2_3,Stop Date - Month
icf_vc_trans_v3_0,9. Was a translator used?
d56_breath_st_v3_2,Start date
d42_app_st_v3_2,Start date
dc_ill_diarr_4_v2_3,Diarrhoea Day 4
dc_pv_swelling_5_v2_3,Day 5
med_start_day_28_v2_3,Start Date - Day
ae_yes_sae_10_v2_3___1,
dc_ill_oth2_1_v2_3,Other 2 Day 1
d3_samp_tim,
d56_ns_2a_tim_v3_2,Time
d7_smell_st,
ae_sdate_3_v2_3,Stop Date
d28_family_id1,
d42_body_st_v3_2,Start date
dc_ill_oth2_9_v2_3,Other 2 Day 9
d3_lft___1,
d14_oth2_st,
d42_resp_v3_2,Respiratory rate
s6_respiratory,Respiratory
day_182_post_vaccination_v3_2_complete,
ae_name_20_v2_3,Adverse event name
exam_oth_v2_3,Other: specify
d3_taste_st,
dc_pv_muscle_0_v2_3,Day 0
dc_pv_muscle_6_v2_3,Day 6
ev_weak_st,
pospcr_aguesia_onset_r2,Date of onset (aguesia):
med_ongoing_end_34_v2_3___1,
ae_sae_15_v2_3,"If ticked, specify reason"
ev_cv_det_cs,
medication_dis_10_v2_3,Disease Indication
contra_method_v2_3,Contraception method
pospcr_symptoms_r2___11,
pospcr_hightemp_dur_r2,If >38.4 C how long was the 'fever of over 38.4 C' present (needs not be contiguous days)?
ae_yes_sae_22_v2_3___1,
conmeds1_ind_v2_3,Indication
medication_tmt_5_v2_3,Prophylaxis or Treatment
pospcr_condition_r2___4,
ae_outcome_28_v2_3,Outcome
med_stop_yr_31_v2_3,Stop Date - Year
ae_name_2_v2_3,Adverse event name
d7_fbc_13___1,
excl15,
dc_ill_med4_v2_3,Name of medication
incl1,
med_start_mo_10_v2_3,Start Date - Month
medication_dose_unit_35_v2_3,Unit Code
d56_serum_2a_tim_v3_2,Time
pospcr_data_sources___9,
dc_ill_med5_v2_3,Name of medication
d28_ns_13___1,
ae_yes_sae_24_v2_3___1,
ae_sdate_13_v2_3,Stop Date
d7_weak,
medication_tmt_2_v2_3,Prophylaxis or Treatment
fluvac_yr_v2_3,"If yes, date - Year"
d28_hla_2b___1,
med_stop_day_2_v2_3,Stop Date - Day
day_7_post_vaccination_complete,
ev_temp,
medication_dis_30_v2_3,Disease Indication
med_start_date_29_v2_3,
med_start_day_4_v2_3,Start Date - Day
pospcr_data_sources___1,
ae_sev_5_v2_3,Severity
med_stop_mo_24_v2_3,Stop Date - Month
d3_app,
dc_pv_rigor_6_v2_3,Day 6
icf_re_trans_comm_v3_0,Translator comments
d7_naus_vom,
dc_ill_fatigure_9_v2_3,Fatigue/weakness Day 9
med_stop_mo_12_v2_3,Stop Date - Month
pospcr_symptoms___20,
vacc_date,Vaccination date
dc_ill_oth2_4_v2_3,Other 2 Day 4
d182_othsamp_sp_v3_2,Specify other sample
pospcr_condition___1,
day_42_group2b_v3_2_complete,
ae_date_15_v2_3,Start Date
med_start_yr_21_v2_3,Start Date - Year
s1_resp_det_cs,Respiratory - Abnormal CS details
un_reas_sp,Specify other
med_start_day_12_v2_3,Start Date - Day
med_stop_mo_7_v2_3,Stop Date - Month
medication_dose_unit_25_v2_3,Unit Code
s6_abdo_det_ns,Abdomen - Abnormal CS details
dc_pv_sweat_5_v2_3,Day 5
icf_sc_wit_sign_v3_0,"If yes, did witness sign ICF?"
ae_sdate_21_v2_3,Stop Date
d42_othsamp_v3_2___1,
ae_name_28_v2_3,Adverse event name
informed_consent_addendum_10_complete,
med_start_day_16_v2_3,Start Date - Day
ev_body_st,
dc_ill_throat_5_v2_3,Sore throat Day 5
dc_pv_temp_4_v2_3,Day 4
prevac_tim,
vs_un_oxy_v2_3,Oxygen saturation
ae_related_18_v2_3,Relationship to Study Vaccine
dc_ill_temp_pm_8_v2_3,"Temperature, afternoon Day 8"
d28_oth1_sp,
med_stop_date_5_v2_3,
pospcr_lrtd_resol_r2,Date of symptom resolution (radiographic findings consistent with LRTD):
s1_nausea,Nausea
pospcr_sob_resol_r2,Date of symptom resolution (sob):
d28_chills_st,
d364_cough_st_v3_2,Start date
rescreen_dat,
medco_diabetes___2,
un_comm1,If no: comments: 
dc_ill_med6_dat_v2_3,Date taken
s6_cv_det_ncs,Cardiovascular - Abnormal NCS details
icf_sc_all_v3_0,15. Was a copy of all 3 signed ICF's placed in the participant file?
d364_taste_st_v3_2,Start date
dc_ill_med2_v2_3,Name of medication
pospcr_spo2_resol,Date of symptom resolution (spo2):
physical_examination_v2_3_complete,
ae_sae_31_v2_3,"If ticked, specify reason"
fu_vs_datetime2,
sx_serum___1,
dc_pv_joint_visit_v2_3,Medical visit
d42_cough_st_v3_2,Start date
pv60_warmth_2,
s6_sal_tim,Time
medication_route_21_v2_3,Route Code
d182_oth1_sp_v3_2,Other: Specify
med_ongoing_end_7_v2_3___1,
icf_hiv_v2_3,11. Did the participant give permission for HIV and hepatitis testing?
d3_nasal_st,
dc_ill_cough_7_v2_3,Cough Day 7
dc_pv_breath_0_v2_3,Day 0
medhist_ent_det_v2_3,Details
medication_frequency_34_v2_3,Frequency
med_start_mo_35_v2_3,Start Date - Month
ev_abdo,
d3_head_st,
d42_oth1_st_v3_2,Start date
medication_name_2_v2_3,Mediation Name or Therapy
medication_frequency_22_v2_3,Frequency
icf_ad_ques_v1_0,12. Was the opportunity for questions given? 
med_start_date_27_v2_3,
d14_taste_st,
ae_date_4_v2_3,Start Date
d28_serum_13___1,
dc_ill_taste_3_v2_3,Loss of sense of taste Day 3
redcap_repeat_instance,
fu_ser_datetime2,
conmeds3_st_mo_v2_3,Start Date Month
d14_othsamp___1,
dc_pv_breath_6_v2_3,Day 6
cm_med_verbatim_term,Medication verbatim  term
d14_serum_2a___1,
d3_oxy,
prevac_serum_1_tim,
pospcr_other_symptom,Please specify other symptom:
pospcr_sob_onset,Date of onset (sob):
medication_route_8_v2_3,Route Code
medication_dis_9_v2_3,Disease Indication
med_stop_yr_20_v2_3,Stop Date - Year
ur_blood_v2_3,Blood
dc_pv_joint_0_v2_3,Day 0
ev_taste_st,
pospcr_naus_vom,pospcr_naus_vom
icf_crf_status_v2_3,CRF status
dc_ill_oth1_5_v2_3,Other 1 Day 5
d28_fever,
med_stop_yr_5_v2_3,Stop Date - Year
d28_family_id6,
dc_ill_oth2_5_v2_3,Other 2 Day 5
exam_resp_det_cs_v2_3,Respiratory - Abnormal CS details
dc_pv_redness_2_v2_3,Day 2
icf_sc_trans_comm_v3_0,Translator comments
d364_loc_v3_2,3. Where is this visit taking place?
d364_ns_2a_v3_2___1,
medication_dis_12_v2_3,Disease Indication
d14_run_st,
icf_ad_oth_sp_v1_0,
travelhist_country3_end_day_v2_3,End Date - day
d182_serum_2b_v3_2___1,
d14_run,
d56_nasal_st_v3_2,Start date
s6_gen_det_cs,General - Abnormal CS details
sx_resp,Respiratory rate
d28_smell_st,
icf_locked_date_v3_0,Locked date
medication_dis_1_v2_3,Disease Indication
fluvac_mo_v2_3,"If yes, date - Month"
ae_sev_7_v2_3,Severity
d7_ns_2a_tim,
pospcr_symptoms___8,
icf_wit_v2_3,2. Is a witness needed to the informed consent process (if illiterate)?
ae_related_32_v2_3,Relationship to Study Vaccine
dc_ill_body_3_v2_3,Body aches Day 3
dc_ill_chest_6_v2_3,Chest pain Day 6
d28_oth1,
e1_crf_status_r2,CRF status
med_start_mo_8_v2_3,Start Date - Month
med_ongoing_end_21_v2_3___1,
ev_ent_det_cs,
medhist_hepatic_v2_3,Hepatic
pospcr_cough_resol_r2,Date of symptom resolution (cough):
pv60_pulse_2,
excl10,
excl20,
dc_ill_smell_6_v2_3,Loss of sense of smell Day 6
s6_skin,Skin
dc_pv_swelling_0_v2_3,Day 0
excl21,
ae_outcome_4_v2_3,Outcome
icf_ad_cont_dat_v1_0,1. Date of successful telephonic contact: 
medhist_family_det2_v2_3,2. Details
travelhist_country3_det_v2_3,Comments
d7_chest_st,
d28_pax_13___1,
ae_og_7_v2_3___1,
end_of_study_v2_3_complete,
medication_name_11_v2_3,Mediation Name or Therapy
allergen1_det_v2_3,Details
pospcr_nasal_dur_r2,How long was the 'Nasal congestion' symptom present (needs not be contiguous days)? 
sc_pulse_v2_3,Pulse rate
ae_related_22_v2_3,Relationship to Study Vaccine
d7_crf_status,
ae_sev_29_v2_3,Severity
med_ongoing_end_1_v2_3___1,
dc_ill_locked_date_v2_3,Locked date
day_28_post_vaccination_complete,
ae_sev_25_v2_3,Severity
med_stop_day_1_v2_3,Stop Date - Day
dc_pv_breath_4_v2_3,Day 4
med_start_yr_6_v2_3,Start Date - Year
ae_related_12_v2_3,Relationship to Study Vaccine
sx_sal___1,
pospcr_symptoms___7,
medication_name_13_v2_3,Mediation Name or Therapy
d182_rapid_v3_2,Rapid breathing
med_start_day_10_v2_3,Start Date - Day
med_start_date_8_v2_3,
pospcr_myalgia,pospcr_myalgia
dc_pv_crf_status_v2_3,CRF Status
pospcr_lrtd_dur_r2,How long was the 'Radiographic findings consistent with LRTD' symptom present (needs not be contiguous days)? 
med_stop_date_22_v2_3,
medication_tmt_25_v2_3,Prophylaxis or Treatment
dc_pv_weak_2_v2_3,Day 2
d42_run_v3_2,Runny nose
ev_samp_tim,
medication_frequency_24_v2_3,Frequency
med_start_mo_17_v2_3,Start Date - Month
d14_app_st,
medication_route_6_v2_3,Route Code
excl3,
day_28_post_vaccination_v3_3_or_complete,
medhist_cv_v2_3,Cardiovascular
icf_vc_tim_v3_0,Time of consent
travelhist_country3_start_yr_v2_3,Start Date - Year
medication_dis_24_v2_3,Disease Indication
dc_ill_eyes_3_v2_3,Redness of the eyes Day 3
herbal2_ind_v2_3,Indication
med_stop_date_2_v2_3,
ae_related_11_v2_3,Relationship to Study Vaccine
dc_pv_feverish_3_v2_3,Day 3
sc_hbsag_2___1,
medication_dose_unit_6_v2_3,Unit Code
med_stop_mo_20_v2_3,Stop Date - Month
dc_pv_taste_visit_v2_3,Medical visit
pospcr_clin_prog_r2,WHO clinical progression score
redcap_event_name,
medco_diabetes___3,
ev_throat.1,
pospcr_data_sources_r2___5,
d56_oth1_st_v3_2,Start date
d182_chest_v3_2,Chest pain
prevac_temp,
s6_fever,Feverish
ae_name_18_v2_3,Adverse event name
med_stop_mo_1_v2_3,Stop Date - Month
dc_ill_oth1_3_v2_3,Other 1 Day 3
pospcr_chills_r2,pospcr_chills
med_stop_day_12_v2_3,Stop Date - Day
ae_og_2_v2_3___1,
med_start_day_24_v2_3,Start Date - Day
eos_locked_date_v2_3,Locked date
pospcr_other_datasource,Please specify other:
ae_og_20_v2_3___1,
ev_app_st,
med_stop_yr_15_v2_3,Stop Date - Year
icf_re_oth_trans_v3_0,Was a translator used?
ev_dat,
vs_un_ur_protein_v2_3,Protein
s6_temp,Oral temperature
prevac_sal_3_tim,
sx_oxy,Oxygen saturation
d14_app,
dc_ill_chest_8_v2_3,Chest pain Day 8
med_stop_date_35_v2_3,
vac_locked_date,
pospcr_myalgia_onset_r2,Date of onset (myalgia):
excl8,
vs_un_bmi_v2_3,BMI
medhist_trials_v2_3,Current or previous participation in clinical trial
icf_re_oth_date_v3_0,Date
medhist_renal_det_v2_3,Details
s6_chills,Chills
med_start_day_7_v2_3,Start Date - Day
med_start_date_1_v2_3,
medication_name_1_v2_3,Mediation Name or Therapy
icf_stor_v2_3,13. Did the participant give permission for samples storage for future use?
fu_crf_status,
travelhist_country3_end_mo_v2_3,End Date - Month
fu_sal_datetime3,
d28_body,
record_id,
ae_sae_6_v2_3,"If ticked, specify reason"
pospcr_run,pospcr_run
ae_sdate_9_v2_3,Stop Date
med_stop_yr_6_v2_3,Stop Date - Year
medication_dose_unit_31_v2_3,Unit Code
d14_body,
primary_symptom_elig,Primary Symptom Eligibility
d7_oth2_sp,
pospcr_rapid_r2,pospcr_rapid
ev_skin,
icf_ad_vers_v1_0,
icf_vc_vers_v3_0,Version
informed_consent_vaccination_v3_0_complete,
sc_lft_3___1,
d7_breath_st,
s1_oth_sp,Other System
ae_og_1_v2_3___1,
dc_pv_taste_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
ae_name_27_v2_3,Adverse event name
ev_ent,
sc_oxy_room_v2_3,Oxygen
d28_othsamp___1,
sx_serum_tim,Time
fu_res3_oth,
dc_ill_med7_dose_v2_3,Dosage
dc_pv_tenderness_1_v2_3,Day 1
medical_history_v2_3_complete,
s1_resp,Respiratory rate
pospcr_symptoms___15,
conmeds2_ind_v2_3,Indication
med_ongoing_end_33_v2_3___1,
medhist_cv_det_v2_3,Details
d7_swelling_comment,
med_ongoing_end_10_v2_3___1,
pv60_malaise,
social_smoking_det_v2_3,Nr/week: __
dc_pv_med2_freq_v2_3,Frequency
prevac_serum_2a_tim,
prevac_serum_2b_tim,
d28_throat_st,
d3_othsamp_sp,
medication_route_15_v2_3,Route Code
med_stop_day_9_v2_3,Stop Date - Day
fluvac_v2_3,Did you receive a flu vaccine this year? 
d14_throat_st,
d182_sae_v3_2,6. Has there been any serious reactions or hospitalizations since previous visit?
icf_hiv_oth_sp_v2_3,Other version of ICF
fu_res2,
d28_sae,
med_start_day_14_v2_3,Start Date - Day
med_start_day_27_v2_3,Start Date - Day
d364_serum_1_v3_2___1,
dc_pv_muscle_5_v2_3,Day 5
s1_vacc_route,Route
d42_diarr_st_v3_2,Start date
medication_name_35_v2_3,Mediation Name or Therapy
medication_route_14_v2_3,Route Code
ae_sae_13_v2_3,"If ticked, specify reason"
ae_yes_sae_26_v2_3___1,
med_stop_day_32_v2_3,Stop Date - Day
s1_ent_det_ncs,ENT - Abnormal NCS details
dc_pv_muscle_3_v2_3,Day 3
icf_vc_ques_sp_v3_0,Specify any questions or concerns raised
diary_card_illness_v2_3_complete,
d182_chills_st_v3_2,Start date
dc_pv_redness_4_v2_3,Day 4
d56_cough_v3_2,Cough
ae_outcome_20_v2_3,Outcome
ev_chest.1,
medication_dose_unit_15_v2_3,Unit Code
dc_ill_fatigure_3_v2_3,Fatigue/weakness Day 3
pospcr_diarr_r2,pospcr_diarr
conmeds1_st_mo_v2_3,Start Date Month
medication_dose_unit_20_v2_3,Unit Code
medication_frequency_2_v2_3,Frequency
pv60_dressing,
s6_abdo_det_ncs,Abdomen - Abnormal NCS details
dc_ill_diarr_8_v2_3,Diarrhoea Day 8
fu_dat,
dc_ill_throat_9_v2_3,Sore throat Day 9
ae_yes_sae_2_v2_3___1,
icf_read_v2_3,3. Was the participant given an opportunity to read informed consent form?
med_start_yr_7_v2_3,Start Date - Year
dc_ill_cough_6_v2_3,Cough Day 6
med_start_mo_20_v2_3,Start Date - Month
d182_fever_v3_2,Fever
pv60_malaise_2,
icf_sc_copy_v3_0,9. Was a copy of the main informed consent form given to the participant?
d56_oth1_sp_v3_2,Other: Specify
med_ongoing_end_17_v2_3___1,
vs_un_preg_test_v2_3,3. Urine pregnancy test performed?
medication_frequency_9_v2_3,Frequency
med_ongoing_end_26_v2_3___1,
d42_crf_status_v3_2,CRF Status
s1_oth_det_cs,Other - Abnormal CS details
d42_oth1_sp_v3_2,Other: Specify
d7_cough_st,
ev_oth3,
d14_conmed,
conmeds6_ind_v2_3,Indication
d56_app_st_v3_2,Start date
d28_rapid,
dc_pv_hard_med_v2_3,Medication
dc_pv_head_3_v2_3,Day 3
d7_chills_st,
ae_sae_19_v2_3,"If ticked, specify reason"
d42_chills_v3_2,Chills
med_stop_mo_4_v2_3,Stop Date - Month
d56_oth2_v3_2,Other
d7_conmed,
dc_pv_itch_3_v2_3,Day 3
pospcr_headache_onset_r2,Date of onset (headache):
d364_cough_v3_2,Cough
prevac_ns_3_tim,
pospcr_data_sources___8,
d3_cough_st,
ev_gen,
d28_chest,
dc_pv_feverish_6_v2_3,Day 6
ae_name_15_v2_3,Adverse event name
sx_ns_tim,Time
icf_vc_id_v3_0,<div class=\rich-text-field-label\><p>Re-enter the screening ID (e.g. X-9XXXX)</p></div>
d364_naus_vom_v3_2,Nausea and/or vomitting
d42_app_v3_2,Loss of appetite
incl7,
ev_inject_det_cs,
d14_nasal,
medication_frequency_8_v2_3,Frequency
medication_name_21_v2_3,Mediation Name or Therapy
medication_dose_25_v2_3,Dose
ev_nasal_st,
med_stop_yr_27_v2_3,Stop Date - Year
d7_head,
conmeds4_st_yr_v2_3,Start Date Year
ae_yes_sae_11_v2_3___1,
pospcr_condition_r2___0,
ae_sdate_28_v2_3,Stop Date
d28_head_st,
d182_serum_2b_tim_v3_2,Time
ae_outcome_1_v2_3,Outcome
medication_tmt_16_v2_3,Prophylaxis or Treatment
medication_dose_unit_26_v2_3,Unit Code
med_stop_yr_34_v2_3,Stop Date - Year
medication_dis_20_v2_3,Disease Indication
d182_breath_st_v3_2,Start date
dc_pv_cough_5_v2_3,Day 5
ev_oth1,
inclexcl_locked_date,
medhist_hepatic_det_v2_3,Details
ae_og_13_v2_3___1,
informed_consent_re_signing_v3_0_complete,
dc_ill_chill_7_v2_3,Chills Day 7
icf_sc_ques_v3_0,5. Was the opportunity for questions given?
medication_dis_22_v2_3,Disease Indication
dc_ill_smell_9_v2_3,Loss of sense of smell Day 9
d28_naus_vom_st,
medication_tmt_24_v2_3,Prophylaxis or Treatment
medication_route_33_v2_3,Route Code
d182_oth1_st_v3_2,Start date
d364_hiv_1_v3_2___1,
conmeds3_v2_3,3. GENERIC NAME
conmeds2_st_yr_v2_3,Start Date Year
herbal1_ind_v2_3,Indication
med_start_date_23_v2_3,
s6_dia,Diastolic BP
d364_weak_v3_2,Fatigue/Weakness
med_start_yr_8_v2_3,Start Date - Year
ev_oth_sp,
ev_ns___1,
d364_serum_1_tim_v3_2,Time
informed_consent_screening_v3_0_complete,
d364_run_v3_2,Runny nose
dc_pv_smell_3_v2_3,Day 3
un_dat,Date of participant unblinding
d42_rapid_st_v3_2,Start date
exam_inject_det_ncs_v2_3,Injection site - Abnormal NCS details
medication_dis_14_v2_3,Disease Indication
ev_oth4,
ae_related_5_v2_3,Relationship to Study Vaccine
pv60_dia,
d3_fbc___1,
ae_yes_sae_12_v2_3___1,
medication_dose_unit_5_v2_3,Unit Code
conmed_crf_status_v2_3,CRF Status
dc_pv_itch_visit_v2_3,Medical visit
pospcr_throat_onset_r2,Date of onset (sore throat):
scr_locked_date,
dc_ill_fatigure_6_v2_3,Fatigue/weakness Day 6
icf_sc_tim_v3_0,Time of consent
med_start_date_19_v2_3,
ev_oth4_sp,
endpoint_evaluation_e1_r1_complete,
med_start_yr_9_v2_3,Start Date - Year
medication_tmt_23_v2_3,Prophylaxis or Treatment
ae_date_11_v2_3,Start Date
dc_pv_cough_0_v2_3,Day 0
medication_dose_unit_1_v2_3,Unit Code
icf_vc_cons_v3_0,7. Was informed consent obtained from the participant for their participation in the study?
pospcr_symptoms_r2___17,
ae_sdate_22_v2_3,Stop Date
med_stop_yr_29_v2_3,Stop Date - Year
vs_un_resp_v2_3,Respiratory rate
pospcr_aguesia_dur,How long was the 'Aguesia' symptom present (needs not be contiguous days)? 
icf_pre_hiv_v2_3,15. Was adequate pre-test HIV counselling given to the participant?
d364_locked_date_v3_2,Locked date
ae_related_13_v2_3,Relationship to Study Vaccine
med_start_mo_7_v2_3,Start Date - Month
prevac_sal_2b_tim,
pospcr_aguesia_dur_r2,How long was the 'Aguesia' symptom present (needs not be contiguous days)? 
med_stop_mo_28_v2_3,Stop Date - Month
med_stop_day_24_v2_3,Stop Date - Day
cm_level_6,Level 6
dc_pv_taste_6_v2_3,Day 6
medication_route_2_v2_3,Route Code
s6_pain,Pain
dc_ill_smell_3_v2_3,Loss of sense of smell Day 3
ae_related_1_v2_3,Relationship to Study Vaccine
dc_ill_breath_8_v2_3,Shortness of breath Day 8
dc_ill_med12_dat_v2_3,Date taken
dc_pv_redness_med_v2_3,Medication
dc_pv_taste_5_v2_3,Day 5
excl9,
medco_cv_opt_v2_3___5,
pv60_pain_2,
dc_pv_tenderness_2_v2_3,Day 2
ae_name_3_v2_3,Adverse event name
fu_sal_datetime1,
s6_dia_2,Diastolic BP
vs_un_bp_sys_v2_3,Systolic BP
vital_signs_unscheduled_visit_v2_3_complete,
ae_yes_sae_13_v2_3___1,
pospcr_condition_r2___5,
d28_serum_13_tim,
med_stop_yr_23_v2_3,Stop Date - Year
pe_comment_v2_3,Comments
d7_nasal,
prevac_pax_2a___1,
dc_ill_med11_v2_3,Name of medication
ae_sdate_25_v2_3,Stop Date
medication_dose_3_v2_3,Dose
pospcr_sp02_level_r2,Sp02 level:
exam_oth_det_cs_v2_3,Other - Abnormal CS details
sc_lft_1___1,
dc_pv_med5_dat_v2_3,Date taken
d364_temp_v3_2,Oral temperature
d56_serum_13_tim_v3_2,Time
pospcr_appetite_dur_r2,How long was the 'Loss of appetite' symptom present (needs not be contiguous days)? 
dc_pv_taste_2_v2_3,Day 2
pospcr_data_sources_r2___4,
dc_pv_feverish_visit_v2_3,Medical visit
med_stop_yr_3_v2_3,Stop Date - Year
med_ongoing_end_22_v2_3___1,
medication_tmt_28_v2_3,Prophylaxis or Treatment
incl8,
pospcr_anosmia,pospcr_anosmia
dc_ill_body_8_v2_3,Body aches Day 8
d14_cell_13___1,
ae_date_9_v2_3,Start Date
ae_date_10_v2_3,Start Date
med_stop_mo_19_v2_3,Stop Date - Month
d28_fever_st,
s1_preg,11. Urine pregnancy test performed?
s1_temp,Oral temperature
d28_oxy,
d364_rapid_v3_2,Rapid breathing
sc_hbsag_3___1,
dc_ill_naus_vom_4_v2_3,Nausea and/or vomitting Day 4
sc_hba1c_2___1,
med_stop_mo_11_v2_3,Stop Date - Month
covid_cases_follow_up_complete,
medication_tmt_12_v2_3,Prophylaxis or Treatment
d7_rapid_st,
d7_ns_13_tim,
pospcr_chestpain_resol_r2,Date of symptom resolution (chest pain):
icf_ad_tel_surv_v1_0,6. Does participant agree to continued surveillance? 
d56_ns_2b_v3_2___1,
medication_name_14_v2_3,Mediation Name or Therapy
dc_ill_body_6_v2_3,Body aches Day 6
d3_oth2_st,
med_start_yr_13_v2_3,Start Date - Year
vs_un_height_v2_3,Height
ae_yes_sae_16_v2_3___1,
fu_np_datetime3,
s1_tim_2,Time
d42_naus_vom_st_v3_2,Start date
icf_vc_ques_v3_0,5. Was the opportunity for questions given?
sc_hbsag_1___1,
d364_serum_2a_v3_2___1,
icf_oth_sp_v2_3,Other version of ICF
med_stop_yr_13_v2_3,Stop Date - Year
ev_resp_det_ncs,
med_stop_yr_33_v2_3,Stop Date - Year
icf_stor_dat_v2_3,Date of consent
d14_fever_st,
icf_ad_tel_read_v1_0,2. Was the informed consent form read to the participant over the phone? 
ae_related_19_v2_3,Relationship to Study Vaccine
pospcr_chills_qresol,Is symptom (chills) resolution date known?
d182_locked_date_v3_2,Locked date
s1_pain,Pain
ae_og_3_v2_3___1,
pospcr_chestpain_qresol_r2,Is symptom (chest pain) resolution date known?
s1_vacc_site_sp,"If other, specify"
med_start_yr_24_v2_3,Start Date - Year
d28_taste_st,
d42_oth1_v3_2,Other
pospcr_throat_dur_r2,How long was the 'Sore throat' symptom present (needs not be contiguous days)? 
pospcr_symptoms_r2___12,
d14_diarr_st,
med_stop_day_18_v2_3,Stop Date - Day
ae_date_32_v2_3,Start Date
contra_method_sp_v2_3,Other (specify)
medication_route_7_v2_3,Route Code
sc_isolate_v2_3,"3. Did participant have to self-isolate at any time, either because they had symptoms themselves or were exposed to someone with symptoms?"
pospcr_app_r2,pospcr_app
medication_tmt_14_v2_3,Prophylaxis or Treatment
icf_re_stor_dat_v3_0,Date of consent
ae_date_27_v2_3,Start Date
s6_cv_det_cs,Cardiovascular - Abnormal CS details
med_start_day_2_v2_3,Start Date - Day
d7_ns_13___1,
med_stop_mo_6_v2_3,Stop Date - Month
dc_ill_breath_2_v2_3,Shortness of breath Day 2
fu_locked_date,
med_start_mo_28_v2_3,Start Date - Month
pospcr_spo2_dur_r2,How long was the 'Low peripheral capillary oxygen saturation (SpO2 < 95% on room air) as measured by pulse-oximetry' symptom present (needs not be contiguous days)? 
ae_sev_9_v2_3,Severity
sx_cmi___1,
med_stop_date_4_v2_3,
sc_last_period_date_yr_v2_3,Year
d28_ns_13_tim,
ae_related_15_v2_3,Relationship to Study Vaccine
d3_run,
site,
ae_sev_4_v2_3,Severity
ae_sdate_31_v2_3,Stop Date
herbal1_st_yr_v2_3,Start Date Year
conmed_locked_date_v2_3,Locked date
ae_og_12_v2_3___1,
med_start_day_9_v2_3,Start Date - Day
medication_dose_23_v2_3,Dose
d28_app,
prevac_comment,
dc_pv_smell_2_v2_3,Day 2
preg_na_v2_3___1,
medication_frequency_7_v2_3,Frequency
d28_family_id4,
med_stop_yr_8_v2_3,Stop Date - Year
d56_taste_v3_2,Loss of sense of taste
icf_re_oth_dat_v3_0,Date of  consent
dc_ill_breath_10_v2_3,Shortness of breath Day 10
d42_dia_v3_2,Diastolic BP
s6_resp_det_cs,Respiratory - Abnormal CS details
pospcr_tacypnea_level,Tachypnea level:
med_ongoing_end_12_v2_3___1,
ev_chills,
ae_outcome_14_v2_3,Outcome
icf_stor_vers_v2_3,Version
conmeds6_st_yr_v2_3,Start Date Year
med_start_yr_27_v2_3,Start Date - Year
s6_serum_tim,Time
d3_cyt___1,
icf_ad_tel_und_v1_0,"3. Does the participant understand the updated study, study procedures and what is expected of them? "
d42_run_st_v3_2,Start date
icf_re_oth_lang_v3_0,Preferred language for signing ICF
d7_bld_2a_tim,
ae_date_28_v2_3,Start Date
medco_resp_opt_v2_3___3,
herbal_v2_3,Are you using any herbal/unregistered medication?
med_start_day_5_v2_3,Start Date - Day
exam_skin_det_cs_v2_3,Skin - Abnormal CS details
sc_fbc_1___1,
d182_ns_2b_tim_v3_2,Time
conmeds4_st_mo_v2_3,Start Date Month
ae_yes_sae_29_v2_3___1,
d7_pax_2a___1,
pospcr_symptoms_r2___5,
pospcr_lrtd_r2,pospcr_lrtd
ae_name_9_v2_3,Adverse event name
conmeds2_v2_3,2. GENERIC NAME
s6_preg_res,"R
esult"
d364_pulse_v3_2,Pulse rate
icf_ad_read_v1_0,10. Was the informed consent form read to the participant over the phone? 
ev_smell,
conmeds2_st_day_v2_3,Start Date - Day
medication_dose_10_v2_3,Dose
prevac_pulse,
dc_pv_head_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
ev_fever.1,
medco_cv_opt_v2_3___1,
ae_date_16_v2_3,Start Date
med_stop_day_23_v2_3,Stop Date - Day
d42_eyes_v3_2,Redness of the eyes
dc_ill_adm_8_v2_3,Admission Day 8 
med_ongoing_end_6_v2_3___1,
d364_resp_v3_2,Respiratory rate
icf_re_ques_v3_0,Was the opportunity for questions given?
ae_related_35_v2_3,Relationship to Study Vaccine
sc_height_v2_3,Height
ae_sdate_32_v2_3,Stop Date
s6_gen,General
d56_ns_13_tim_v3_2,Time
dc_ill_oth1_9_v2_3,Other 1 Day 9
d7_swelling,
d56_othsamp_tim_v3_2,Time
d14_head,
medication_dose_27_v2_3,Dose
ae_outcome_29_v2_3,Outcome
dc_ill_temp_am_6_v2_3,"Temperature, morning Day 6"
day_14_post_vaccination_complete,
s1_redness,Redness
